Ser,BEL Part No.,Sub System Description,Qty
ES SUB-SYSTEM,,,
1,172300352518,ES AHU-1,1
1.1,172300685616,LB(175-500 MHz) ANTENNA ARRAY,1
1.2,172300676983,ASU (LB1-SHAKTI),1
2,172300352615,ES AHU-2,1
2.1,172300347377,OMNI Rx MODULE,2
2.2,172300347474,OMNI MASS MODULE,1
2.3,172300646331,BB & NB Rx(LB2-MB),1
3,172300352712,ES AHU-3,4
4,172300352809,ES AHU-4,1
5,172300352906,ES RACK-1,1
5.1,172300347668,RX PROCESSOR LRU,1
5.2,172300347765,ESM PROCESSOR,1
5.3,172300348056,CONTROL UNIT(ES RACK-1),1
6,172300353003,ES RACK-2,1
6.1,172300683482,Multi Channel RF Unit (LB1-SHAKTI),1
6.2,172300683385,Receiver Processor (LB1),1
6.3,172300347862,LVPS-1,1
6.4,172300347959,LVPS-2,1
6.5,172300654285,RFPS WBT & Processor LRU,1
6.6,172300705792,Power Supply (AHU 1-LB1),1
