Ser,"Ref.Trk
No.",Rx.Type,"Freq
(MHz)",DOA(Deg),"PRF
(KHz)","PW
(nsec)"
63,815,BB Rx1,13750,135,100,1000
64,816,BB Rx1,15750,135,100,1000
65,817,BB Rx1,2250,225,100,1000
66,818,BB Rx1,3250,225,100,1000
67,819,BB Rx1,4250,225,100,1000
68,820,BB Rx1,5250,225,100,1000
69,821,BB Rx1,7750,225,100,1000
70,822,BB Rx1,11750,225,100,1000
71,823,BB Rx1,13750,225,100,1000
72,824,BB Rx1,15750,225,100,1000
73,825,BB Rx1,14500,315,100,1000
74,826,BB Rx1,14500,315,100,1000
75,827,BB Rx1,14500,315,100,1000
76,828,BB Rx1,14500,315,100,1000
77,829,BB Rx1,14500,315,100,1000
78,830,BB Rx1,14500,315,100,1000
79,831,BB Rx1,15500,315,100,1000
80,832,BB Rx1,15500,315,100,1000
81,901,BB Rx2,24000,45,100,1000
82,902,BB Rx2,36000,45,100,1000
83,903,BB Rx2,24000,225,100,1000
84,904,BB Rx2,36000,225,100,1000
85,905,BB Rx2,24000,135,100,1000
86,906,BB Rx2,36000,135,100,1000
87,907,BB Rx2,24000,315,100,1000
88,908,BB Rx2,36000,315,100,1000
