Ser,"Ref.Trk
No.",Rx.Type,"Freq
(MHz)",DOA(Deg),"PRF
(KHz)","PW
(nsec)"
30,714,NB Rx2,11750,135,100,1000
31,715,NB Rx2,13750,135,100,1000
32,716,NB Rx2,15750,135,100,1000
33,717,NB Rx2,2250,225,100,1000
34,718,NB Rx2,3250,225,100,1000
35,719,NB Rx2,4250,225,100,1000
36,720,NB Rx2,5250,225,100,1000
37,721,NB Rx2,7750,225,100,1000
38,722,NB Rx2,11750,225,100,1000
39,723,NB Rx2,13750,225,100,1000
40,724,NB Rx2,15750,225,100,1000
41,725,NB Rx2,2250,315,100,1000
42,726,NB Rx2,3250,315,100,1000
43,727,NB Rx2,4250,315,100,1000
44,728,NB Rx2,5250,315,100,1000
45,729,NB Rx2,7750,315,100,1000
46,730,NB Rx2,11750,315,100,1000
47,731,NB Rx2,13750,315,100,1000
48,732,NB Rx2,15750,315,100,1000
49,801,BB Rx1,2250,45,100,1000
50,802,BB Rx1,3250,45,100,1000
51,803,BB Rx1,4250,45,100,1000
52,804,BB Rx1,5250,45,100,1000
53,805,BB Rx1,7750,45,100,1000
54,806,BB Rx1,11750,45,100,1000
55,807,BB Rx1,13750,45,100,1000
56,808,BB Rx1,15750,45,100,1000
57,809,BB Rx1,2250,135,100,1000
58,810,BB Rx1,3250,135,100,1000
59,811,BB Rx1,4250,135,100,1000
60,812,BB Rx1,5250,135,100,1000
61,813,BB Rx1,7750,135,100,1000
62,814,BB Rx1,11750,135,100,1000
