Ser.,Material,Item Description,"Ord
Qty",UoM
33,172300532938,Low Voltage Power Supply (EACP),4,NO
34,172300346989,EA Control Panel,4,NO
35,172300441176,Low Voltage Power Supply (MB2),4,NO
36,172300441273,Low Voltage Power Supply (HB),4,NO
37,172300855657,Set of Spares for LVPS(MB2)(B&D),4,Set
38,172300855754,Set of Spares for LVPS(HB)(B&D),4,Set
39,172300452428,Servo Control Unit (1-AXIS),4,NO
40,172300452525,Servo Control Unit (2-AXIS),4,NO
41,172300757590,DDUC 6-18G,4,NO
42,172300358920,Set of Spares for Front End Unit(MB2),4,Set
43,172300292184,Sectoral Horn Rx Ant (6-18 GHz),4,NO
44,172300753419,Threshold Detector 6-18G,4,NO
45,113060006663,BMPM C-Ku 100 W,8,NO
46,172300176560,"High Power Linear Array Ant. With
Radome",4,NO
47,172300855269,Set of High Power SPDT Switches (B&D),4,Set
48,172300753613,POWER AMPLIFIER-1 6-18G,4,NO
49,172300243102,"ROTMAN lens beam forming N/W(6-
18GHz)",4,NO
50,172300695413,CONTROL I/F Module,4,NO
51,172300753710,Power Amplifier-2 6-18G,8,NO
52,172300753807,SPST SWITCH,4,NO
53,172300753904,SP16T SWITCH,4,NO
